Atendimento: 152787 | Data do Atendimento: 2025-04-22 | Preço do Item: R$ 129.90
Atendimento: 152789 | Data do Atendimento: 2025-04-22 | Preço do Item: R$ 5468.20
Atendimento: 152805 | Data do Atendimento: 2025-04-22 | Preço do Item: R$ 140.31
Atendimento: 152811 | Data do Atendimento: 2025-04-22 | Preço do Item: R$ 3899.00
Atendimento: 152812 | Data do Atendimento: 2025-04-22 | Preço do Item: R$ 1746.00
Atendimento: 152813 | Data do Atendimento: 2025-04-22 | Preço do Item: R$ 4943.33
Atendimento: 152832 | Data do Atendimento: 2025-04-22 | Preço do Item: R$ 86.00
Atendimento: 152832 | Data do Atendimento: 2025-04-22 | Preço do Item: R$ 87.90
Atendimento: 152832 | Data do Atendimento: 2025-04-22 | Preço do Item: R$ 862.80
Atendimento: 152832 | Data do Atendimento: 2025-04-22 | Preço do Item: R$ 117.00
Atendimento: 152895 | Data do Atendimento: 2025-04-23 | Preço do Item: R$ 79.96
Atendimento: 152915 | Data do Atendimento: 2025-04-23 | Preço do Item: R$ 29.90
Atendimento: 152916 | Data do Atendimento: 2025-04-23 | Preço do Item: R$ 239.60
Atendimento: 152917 | Data do Atendimento: 2025-04-23 | Preço do Item: R$ 1.50
Atendimento: 152919 | Data do Atendimento: 2025-04-23 | Preço do Item: R$ 500.00
Atendimento: 152921 | Data do Atendimento: 2025-04-23 | Preço do Item: R$ 40.00
Atendimento: 152923 | Data do Atendimento: 2025-04-23 | Preço do Item: R$ 885.00
Atendimento: 152959 | Data do Atendimento: 2025-04-23 | Preço do Item: R$ 7500.00
Atendimento: 153039 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 447.16
Atendimento: 153039 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 279.57
Atendimento: 153040 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 11.00
Atendimento: 153040 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 14.00
Atendimento: 153040 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 17.50
Atendimento: 153040 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 39.00
Atendimento: 153040 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 36.00
Atendimento: 153040 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 82.50
Atendimento: 153040 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 216.00
Atendimento: 153040 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 70.00
Atendimento: 153040 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 28.75
Atendimento: 153040 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 22.50
Atendimento: 153041 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 66.00
Atendimento: 153041 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 189.00
Atendimento: 153042 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 126.99
Atendimento: 153042 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 2.50
Atendimento: 153042 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 11.25
Atendimento: 153043 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 120.00
Atendimento: 153051 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 224.17
Atendimento: 153051 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 13.38
Atendimento: 153051 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 13.89
Atendimento: 153052 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 54.50
Atendimento: 153052 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 1.62
Atendimento: 153052 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 25.80
Atendimento: 153052 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 11.00
Atendimento: 153053 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 31.19
Atendimento: 153061 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 46.85
Atendimento: 153072 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 121.44
Atendimento: 153073 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 291.60
Atendimento: 153073 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 171.06
Atendimento: 153073 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 156.50
Atendimento: 153074 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 122.73
Atendimento: 153074 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 651.36
Atendimento: 153075 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 62.30
Atendimento: 153075 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 49.50
Atendimento: 153075 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 10.50
Atendimento: 153075 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 55.96
Atendimento: 153075 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 15.00
Atendimento: 153076 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 108.39
Atendimento: 153076 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 100.00
Atendimento: 153077 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 111.10
Atendimento: 153077 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 194.90
Atendimento: 153078 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 110.16
Atendimento: 153078 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 54.56
Atendimento: 153086 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 115.01
Atendimento: 153086 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 698.54
Atendimento: 153086 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 164.72
Atendimento: 153087 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 339.80
Atendimento: 153088 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 79.96
Atendimento: 153089 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 6.00
Atendimento: 153089 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 17.50
Atendimento: 153089 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 44.00
Atendimento: 153089 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 35.00
Atendimento: 153089 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 15.00
Atendimento: 153089 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 145.00
Atendimento: 153089 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 31.25
Atendimento: 153089 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 17.60
Atendimento: 153089 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 92.50
Atendimento: 153090 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 239.94
Atendimento: 153091 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 98.00
Atendimento: 153094 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 97.76
Atendimento: 153094 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 63.80
Atendimento: 153094 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 153.52
Atendimento: 153094 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 254.50
Atendimento: 153094 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 179.40
Atendimento: 153094 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 403.44
Atendimento: 153094 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 78.60
Atendimento: 153094 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 112.50
Atendimento: 153097 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 36.70
Atendimento: 153101 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 11036.00
Atendimento: 153103 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 35.68
Atendimento: 153109 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 20.40
Atendimento: 153109 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 6.00
Atendimento: 153110 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 46.04
Atendimento: 153111 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 76.99
Atendimento: 153111 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 8.00
Atendimento: 153111 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 184.90
Atendimento: 153111 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 40.17
Atendimento: 153111 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 79.35
Atendimento: 153112 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 7.18
Atendimento: 153112 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 5.70
Atendimento: 153112 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 97.30
Atendimento: 153113 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 4.99
Atendimento: 153113 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 103.98
Atendimento: 153113 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 33.51
Atendimento: 153113 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 113.16
Atendimento: 153113 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 205.86
Atendimento: 153113 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 97.40
Atendimento: 153113 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 25.00
Atendimento: 153113 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 91.20
Atendimento: 153113 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 174.00
Atendimento: 153115 | Data do Atendimento: 2025-04-24 | Preço do Item: R$ 12.90
Atendimento: 153149 | Data do Atendimento: 2025-04-25 | Preço do Item: R$ 249.60
Atendimento: 153154 | Data do Atendimento: 2025-04-25 | Preço do Item: R$ 1245.00
Atendimento: 153157 | Data do Atendimento: 2025-04-25 | Preço do Item: R$ 420.44
Atendimento: 153159 | Data do Atendimento: 2025-04-25 | Preço do Item: R$ 269.80
Atendimento: 153175 | Data do Atendimento: 2025-04-25 | Preço do Item: R$ 886.00
Atendimento: 153176 | Data do Atendimento: 2025-04-25 | Preço do Item: R$ 3653.36
Atendimento: 153177 | Data do Atendimento: 2025-04-25 | Preço do Item: R$ 595.00
Atendimento: 153193 | Data do Atendimento: 2025-04-25 | Preço do Item: R$ 2269.89
Atendimento: 153195 | Data do Atendimento: 2025-04-25 | Preço do Item: R$ 415.00
Atendimento: 153197 | Data do Atendimento: 2025-04-25 | Preço do Item: R$ 29.90
Atendimento: 153206 | Data do Atendimento: 2025-04-25 | Preço do Item: R$ 1047.08
Atendimento: 153207 | Data do Atendimento: 2025-04-25 | Preço do Item: R$ 115.90
Atendimento: 153209 | Data do Atendimento: 2025-04-25 | Preço do Item: R$ 3139.75
Atendimento: 153210 | Data do Atendimento: 2025-04-25 | Preço do Item: R$ 10.00
Atendimento: 153211 | Data do Atendimento: 2025-04-25 | Preço do Item: R$ 749.90
Atendimento: 153212 | Data do Atendimento: 2025-04-25 | Preço do Item: R$ 589.00
Atendimento: 153214 | Data do Atendimento: 2025-04-25 | Preço do Item: R$ 3729.00
Atendimento: 153217 | Data do Atendimento: 2025-04-25 | Preço do Item: R$ 749.90
Atendimento: 153220 | Data do Atendimento: 2025-04-25 | Preço do Item: R$ 135.90
Atendimento: 153221 | Data do Atendimento: 2025-04-25 | Preço do Item: R$ 1150.00
Atendimento: 153317 | Data do Atendimento: 2025-04-28 | Preço do Item: R$ 298.00
Atendimento: 153338 | Data do Atendimento: 2025-04-28 | Preço do Item: R$ 15.80
Atendimento: 153338 | Data do Atendimento: 2025-04-28 | Preço do Item: R$ 10.50
Atendimento: 153338 | Data do Atendimento: 2025-04-28 | Preço do Item: R$ 125.25
Atendimento: 153344 | Data do Atendimento: 2025-04-28 | Preço do Item: R$ 207.49
Atendimento: 153345 | Data do Atendimento: 2025-04-28 | Preço do Item: R$ 183.33
Atendimento: 153361 | Data do Atendimento: 2025-04-28 | Preço do Item: R$ 490.71
Atendimento: 153384 | Data do Atendimento: 2025-04-28 | Preço do Item: R$ 146.00
Atendimento: 153385 | Data do Atendimento: 2025-04-28 | Preço do Item: R$ 5.87
Atendimento: 153387 | Data do Atendimento: 2025-04-28 | Preço do Item: R$ 2.95
Atendimento: 153388 | Data do Atendimento: 2025-04-28 | Preço do Item: R$ 1675.32
Atendimento: 153389 | Data do Atendimento: 2025-04-28 | Preço do Item: R$ 89.00
Atendimento: 153390 | Data do Atendimento: 2025-04-28 | Preço do Item: R$ 188.30
Atendimento: 153391 | Data do Atendimento: 2025-04-28 | Preço do Item: R$ 265.30
Atendimento: 153392 | Data do Atendimento: 2025-04-28 | Preço do Item: R$ 106.35
Atendimento: 153393 | Data do Atendimento: 2025-04-28 | Preço do Item: R$ 769.78
Atendimento: 153398 | Data do Atendimento: 2025-04-28 | Preço do Item: R$ 19.05
Atendimento: 153400 | Data do Atendimento: 2025-04-28 | Preço do Item: R$ 140.85
Atendimento: 153403 | Data do Atendimento: 2025-04-28 | Preço do Item: R$ 88.32
Atendimento: 153404 | Data do Atendimento: 2025-04-28 | Preço do Item: R$ 24.40
Atendimento: 153405 | Data do Atendimento: 2025-04-28 | Preço do Item: R$ 77.00
Atendimento: 153406 | Data do Atendimento: 2025-04-28 | Preço do Item: R$ 90.00
Atendimento: 153412 | Data do Atendimento: 2025-04-28 | Preço do Item: R$ 371.59
Atendimento: 153414 | Data do Atendimento: 2025-04-28 | Preço do Item: R$ 640.00
Atendimento: 153422 | Data do Atendimento: 2025-04-28 | Preço do Item: R$ 890.00
Atendimento: 153423 | Data do Atendimento: 2025-04-28 | Preço do Item: R$ 1650.00
Atendimento: 153491 | Data do Atendimento: 2025-04-29 | Preço do Item: R$ 1168.24
Atendimento: 153508 | Data do Atendimento: 2025-04-29 | Preço do Item: R$ 82.56
Atendimento: 153509 | Data do Atendimento: 2025-04-29 | Preço do Item: R$ 574.80
Atendimento: 153511 | Data do Atendimento: 2025-04-29 | Preço do Item: R$ 419.00
Atendimento: 153549 | Data do Atendimento: 2025-04-29 | Preço do Item: R$ 79.90
Atendimento: 153550 | Data do Atendimento: 2025-04-29 | Preço do Item: R$ 45.07
Atendimento: 153553 | Data do Atendimento: 2025-04-29 | Preço do Item: R$ 780.00
Atendimento: 153557 | Data do Atendimento: 2025-04-29 | Preço do Item: R$ 1540.00
Atendimento: 153558 | Data do Atendimento: 2025-04-29 | Preço do Item: R$ 150.00
Atendimento: 153573 | Data do Atendimento: 2025-04-29 | Preço do Item: R$ 11.00
